Dates,byd_335,teja,lca_334,g_274,arrivals(tons),sales(tones),t_max_(o_c),t_min_(o_c),rainfall_(mm),area__('000_hectares),production('000_tonnes)
13-03-2012,47500,56000,46191,47500,12,5,32.5,24.9,38.8,12.8,66.4
14-03-2012,47500,56000,46191,47500,9,5,31.6,24.5,46.2,12.8,66.4
15-03-2012,47500,56000,46191,47500,8,4,30.8,24.3,127.2,12.8,66.4
16-03-2012,47500,56000,46191,47500,9,6,31.9,24.5,31.6,12.8,66.4
17-03-2012,47500,56000,46191,47500,9,4,34,25.4,12.2,12.8,66.4
18-03-2012,50750,56250,50191,50750,7,4,31.5,25.9,70.2,12.8,66.4
19-03-2012,50750,56250,50191,50750,5,3,32.4,24.2,41.8,12.8,66.4
20-03-2012,50750,56250,50191,50750,12,6,32.1,25,1.6,12.8,66.4
21-03-2012,50750,56250,50191,50750,11,7,29,24.3,172.4,12.8,66.4
22-03-2012,50750,56250,50191,50750,8,4,31.3,24.1,1,12.8,66.4
23-03-2012,50750,56250,50191,50750,11,6,31,19.7,0,12.8,66.4
24-03-2012,50750,56250,50191,50750,11,6,30.5,19.4,0,12.8,66.4
25-03-2012,65600,66400,54191,65600,12,5,29.5,19.5,29,12.8,66.4
26-03-2012,65600,66400,54191,65600,11,5,29.3,19.2,11.4,12.8,66.4
27-03-2012,65600,66400,54191,65600,12,6,29.4,18.3,0,12.8,66.4
28-03-2012,65600,66400,54191,65600,9,4,30.4,16.4,0,12.8,66.4
29-03-2012,65600,66400,54191,65600,8,4,29.3,15.2,0,12.8,66.4
30-03-2012,65600,66400,54191,65600,8,4,24.9,16.4,0,12.8,66.4
31-03-2012,65600,66400,54191,65600,4,2,29.9,16.3,0,12.8,66.4
01-04-2012,63600,65600,53600,63600,9,5,30.3,17.4,0,12.8,66.4
02-04-2012,63600,65600,53600,63600,5,3,30.2,18.2,0,12.8,66.4
03-04-2012,63600,65600,53600,63600,7,5,29.4,17.9,0,12.8,66.4
04-04-2012,63600,65600,53600,63600,8,5,30.1,17.5,0,12.8,66.4
05-04-2012,63600,65600,53600,63600,9,5,32.6,17.3,0,12.8,66.4
06-04-2012,63600,65600,53600,63600,13,8,29.9,19.1,46,12.8,66.4
07-04-2012,63600,65600,53600,63600,12,7,30.5,18.8,0,12.8,66.4
08-04-2012,63800,66600,54800,63800,16,9,31.2,18.8,0,12.8,66.4
09-04-2012,63800,66600,54800,63800,19,11,31.4,19.4,0,12.8,66.4
10-04-2012,63800,66600,54800,63800,19,14,35,19.1,0,12.8,66.4
11-04-2012,63800,66600,54800,63800,33,17,36.3,19.6,0,12.8,66.4
12-04-2012,63800,66600,54800,63800,31,17,38.3,19.7,0,12.8,66.4
13-04-2012,63800,66600,54800,63800,24,18,38.2,24.6,0,12.8,66.4
14-04-2012,63800,66600,54800,63800,25,15,39,25.6,0,12.8,66.4
15-04-2012,64000,66191,56000,64000,29,17,38.7,24.9,0,12.8,66.4
16-04-2012,64000,66191,56000,64000,24,16,39.5,23.5,0,12.8,66.4
17-04-2012,64000,66191,56000,64000,23,16,38,24.1,0,12.8,66.4
18-04-2012,64000,66191,56000,64000,16,8,42,24.4,8,12.8,66.4
19-04-2012,64000,66191,56000,64000,11,5,41.1,24.2,0,12.6,81.8
20-04-2012,64000,66191,56000,64000,9,4,41.5,24.4,0,12.6,81.8
21-04-2012,64000,66191,56000,64000,6,3,39.7,19.4,0,12.6,81.8
22-04-2012,64000,68000,58000,64000,6,3,36.6,19.8,8.3,12.6,81.8
23-04-2012,64000,68000,58000,64000,8,4,38.5,19.7,39.5,12.6,81.8
24-04-2012,64000,68000,58000,64000,7,4,31.1,19.6,19.8,12.6,81.8
25-04-2012,64000,68000,58000,64000,8,5,33.7,19.1,2,12.6,81.8
26-04-2012,64000,68000,58000,64000,11,6,33.4,19.3,83.5,12.6,81.8
27-04-2012,64000,68000,58000,64000,11,6,35,19.4,4.2,12.6,81.8
28-04-2012,64000,68000,58000,64000,9,4,37.5,19.7,2.2,12.6,81.8
29-04-2012,63191,68191,55600,63191,12,4,34.8,19.4,58,12.6,81.8
30-04-2012,63191,68191,55600,63191,12,4,33.7,19.3,16.2,12.6,81.8
01-05-2012,63191,68191,55600,63191,12,5,29.2,18.3,56.2,12.6,81.8
02-05-2012,63191,68191,55600,63191,8,4,33,19.3,4.6,12.6,81.8
03-05-2012,63191,68191,55600,63191,9,4,33.7,18.5,47.6,12.6,81.8
04-05-2012,63191,68191,55600,63191,12,4,31.7,18.3,174.2,12.6,81.8
05-05-2012,63191,68191,55600,63191,12,3,32.6,18.5,0,12.6,81.8
06-05-2012,64800,69400,57191,64800,11,5,33.4,17.4,64,12.6,81.8
07-05-2012,64800,69400,57191,64800,12,5,32.5,18.7,0,12.6,81.8
08-05-2012,64800,69400,57191,64800,12,4,32.4,17.1,2,12.6,81.8
09-05-2012,64800,69400,57191,64800,7,3,29.5,16,67,12.6,81.8
10-05-2012,64800,69400,57191,64800,7,4,30.6,18.6,0,12.6,81.8
11-05-2012,64800,69400,57191,64800,9,5,30.4,19.9,9,12.6,81.8
12-05-2012,64800,69400,57191,64800,8,4,30.6,19.2,36.2,12.6,81.8
13-05-2012,65000,71600,57600,65000,9,5,30.7,19,0,12.6,81.8
14-05-2012,65000,71600,57600,65000,8,4,31.2,18.5,0,12.6,81.8
15-05-2012,65000,71600,57600,65000,8,4,30.8,17.7,0,12.6,81.8
16-05-2012,65000,71600,57600,65000,8,3,29.8,19.1,0,12.6,81.8
17-05-2012,65000,71600,57600,65000,6,3,29.2,16.7,0,12.6,81.8
18-05-2012,65000,71600,57600,65000,12,4,24.9,17.5,0,12.6,81.8
19-05-2012,65000,71600,57600,65000,5,3,30.1,19.9,0,12.6,81.8
20-05-2012,64000,73000,57000,64000,8,4,29.6,14.6,0,12.6,81.8
21-05-2012,64000,73000,57000,64000,11,7,29.7,16.4,0,12.6,81.8
22-05-2012,64000,73000,57000,64000,12,7,30.3,16.4,0,12.6,81.8
23-05-2012,64000,73000,57000,64000,14,9,30.6,18.2,0,12.6,81.8
24-05-2012,64000,73000,57000,64000,14,9,30.7,19,0,12.6,81.8
25-05-2012,64000,73000,57000,64000,19,18,32.7,19.6,0,12.6,81.8
26-05-2012,64000,73000,57000,64000,23,18,33.6,19.8,0,12.6,81.8
27-05-2012,64000,72500,55500,64000,19,18,32.7,19.8,0,12.6,81.8
28-05-2012,64000,72500,55500,64000,23,18,35,19.5,0,12.6,81.8
29-05-2012,64000,72500,55500,64000,30,19,36.1,19.6,0,12.6,81.8
30-05-2012,64000,72500,55500,64000,31,19,37.5,25.6,0,12.6,81.8
31-05-2012,64000,72500,55500,64000,31,19,35.5,25.1,0,12.6,81.8
01-06-2012,64000,72500,55500,64000,24,9,37.5,23.9,0,12.6,81.8
02-06-2012,64000,72500,55500,64000,24,19,34.9,25.5,19,12.6,81.8
03-06-2012,64000,73750,55750,64000,19,16,36.8,24.8,4.2,12.6,81.8
04-06-2012,64000,73750,55750,64000,18,12,36.9,24.8,9.2,12.6,81.8
05-06-2012,64000,73750,55750,64000,15,9,39.8,24,0,12.6,81.8
06-06-2012,64000,73750,55750,64000,14,11,38.2,24.1,0,12.6,81.8
07-06-2012,64000,73750,55750,64000,1,1,38.8,24.1,19.1,13.2,12.2
08-06-2012,64000,73750,55750,64000,1,1,45.8,30.5,0,13.2,12.2
09-06-2012,64000,73750,55750,64000,1,1,40.3,23.7,0,13.2,12.2
10-06-2012,63500,75750,57191,63500,8,4,35.8,25.5,18.4,13.2,12.2
11-06-2012,63500,75750,57191,63500,12,5,34.3,24.7,59.4,13.2,12.2
12-06-2012,63500,75750,57191,63500,11,6,32,25.4,86,13.2,12.2
13-06-2012,63500,75750,57191,63500,12,5,37.7,24.1,0,13.2,12.2
14-06-2012,63500,75750,57191,63500,12,5,38.4,24.1,1.9,13.2,12.2
15-06-2012,63500,75750,57191,63500,11,6,38.1,24.1,19,13.2,12.2
16-06-2012,63500,75750,57191,63500,12,5,37.6,24.9,75.8,13.2,12.2
17-06-2012,61191,74191,54600,61191,12,7,37.2,25.1,15.9,13.2,12.2
18-06-2012,61191,74191,54600,61191,11,8,38,25.1,39.4,13.2,12.2
19-06-2012,61191,74191,54600,61191,13,9,37.7,19.6,63,13.2,12.2
20-06-2012,61191,74191,54600,61191,11,7,36.4,24.2,45.2,13.2,12.2
21-06-2012,61191,74191,54600,61191,12,6,34.9,19.3,119.7,13.2,12.2
22-06-2012,61191,74191,54600,61191,9,5,34.5,25.5,4.8,13.2,12.2
23-06-2012,61191,74191,54600,61191,14,6,33.3,24.9,93.8,13.2,12.2
24-06-2012,60000,73000,53000,60000,11,4,32.7,24.2,46.8,13.2,12.2
25-06-2012,60000,73000,53000,60000,7,4,32.8,25.9,66.7,13.2,12.2
26-06-2012,60000,73000,53000,60000,9,4,33.8,25.9,34.4,13.2,12.2
27-06-2012,60000,73000,53000,60000,9,3,33.9,24.8,5.1,13.2,12.2
28-06-2012,60000,73000,53000,60000,8,3,37.3,25.5,9.7,13.2,12.2
29-06-2012,60000,73000,53000,60000,6,3,37,24.9,4.9,13.2,12.2
30-06-2012,60000,73000,53000,60000,12,8,35.9,19.6,2.8,13.2,12.2
01-07-2012,60000,73000,53000,60000,12,5,35.5,19.6,0,13.2,12.2
02-07-2012,60000,73000,53000,60000,6,3,33.5,19.2,7.2,13.2,12.2
03-07-2012,60000,73000,53000,60000,8,4,31.6,19,60.8,13.2,12.2
04-07-2012,60000,73000,53000,60000,9,4,30.8,19.1,5,13.2,12.2
05-07-2012,60000,73000,53000,60000,12,4,30.9,18.6,0.1,13.2,12.2
06-07-2012,60000,73000,53000,60000,12,5,31.9,18.3,0,13.2,12.2
07-07-2012,60000,73000,53000,60000,12,6,32.4,17.5,0,13.2,12.2
08-07-2012,60000,73000,53000,60000,12,6,32.7,18.3,0,13.2,12.2
09-07-2012,60000,73000,53000,60000,15,12,32,16.9,0.1,13.2,12.2
10-07-2012,60000,73000,53000,60000,12,5,31.6,16.4,0,13.2,12.2
11-07-2012,60000,73000,53000,60000,14,9,31.6,15.6,0,13.2,12.2
12-07-2012,60000,73000,53000,60000,16,12,30.8,17,0,13.2,12.2
13-07-2012,60000,73000,53000,60000,12,8,30.7,18.2,0,13.2,12.2
14-07-2012,60000,73000,53000,60000,16,13,33,17.8,0,13.2,12.2
15-07-2012,60000,73000,53000,60000,14,11,32.7,19.4,0,13.2,12.2
16-07-2012,60000,73000,53000,60000,18,13,33.8,18.4,0,13.2,12.2
17-07-2012,60000,73000,53000,60000,23,16,35,19.6,0,13.2,12.2
18-07-2012,60000,73000,53000,60000,24,17,34,19.1,0,13.2,12.2
19-07-2012,60000,73000,53000,60000,24,13,35.4,19.9,0,13.2,12.2
20-07-2012,60000,73000,53000,60000,30,18,36.9,19.9,0,13.2,12.2
21-07-2012,60000,73000,53000,60000,39,14,39.2,24.2,0,13.2,12.2
22-07-2012,57191,71912,52300,57191,39,19,36.9,24,0,13.2,12.2
23-07-2012,57191,71912,52300,57191,46,19,37.8,24.9,0,13.2,12.2
24-07-2012,57191,71912,52300,57191,35,19,39.7,25.5,0,13.2,12.2
25-07-2012,57191,71912,52300,57191,24,18,39.8,23.7,0,13.2,12.2
26-07-2012,57191,71912,52300,57191,19,14,41.6,24.5,0,13.2,12.2
27-07-2012,57191,71912,52300,57191,15,11,42.1,24.1,12.6,13.2,12.2
28-07-2012,57191,71912,52300,57191,13,9,43.6,24.7,43.2,13.2,12.2
29-07-2012,55600,71600,51600,55600,19,7,33.8,24.1,119.5,17.8,31
30-07-2012,55600,71600,51600,55600,19,8,39.4,24.6,0,17.8,31
31-07-2012,55600,71600,51600,55600,24,8,34.3,25.1,42.8,17.8,31
01-08-2012,55600,71600,51600,55600,19,6,33.6,19.9,23.9,17.8,31
02-08-2012,55600,71600,51600,55600,12,4,36.3,23,16.3,17.8,31
03-08-2012,55600,71600,51600,55600,17,8,37,23.4,3.8,17.8,31
04-08-2012,55600,71600,51600,55600,19,7,34.9,24.1,91.4,17.8,31
05-08-2012,55000,71190,51190,55000,19,8,33.9,24.4,3.7,17.8,31
06-08-2012,55000,71190,51190,55000,19,9,32.6,24,19.6,17.8,31
07-08-2012,55000,71190,51190,55000,19,8,37.8,25.6,0.6,17.8,31
08-08-2012,55000,71190,51190,55000,15,7,37.6,23.1,0,17.8,31
09-08-2012,55000,71190,51190,55000,16,7,37.6,25.1,19.8,17.8,31
10-08-2012,55000,71190,51190,55000,19,8,33.1,24.6,29.6,17.8,31
11-08-2012,55000,71190,51190,55000,11,5,35.3,24.8,0.1,17.8,31
12-08-2012,55000,72400,51800,55000,16,6,32.1,19.4,24.2,17.8,31
13-08-2012,55000,72400,51800,55000,18,6,30.8,24.1,99.3,17.8,31
14-08-2012,55000,72400,51800,55000,19,6,32,19.4,13.3,17.8,31
15-08-2012,55000,72400,51800,55000,17,7,32.9,19.9,119.7,17.8,31
16-08-2012,55000,72400,51800,55000,15,6,33.1,19.6,33.8,17.8,31
17-08-2012,55000,72400,51800,55000,24,6,33.9,19.7,0,17.8,31
18-08-2012,55000,72400,51800,55000,19,4,35.3,18.9,0,17.8,31
19-08-2012,58000,76191,55400,58000,18,4,34.5,19.5,0,17.8,31
20-08-2012,58000,76191,55400,58000,17,5,34.5,17.1,0,17.8,31
21-08-2012,58000,76191,55400,58000,17,5,33.7,19.4,0,17.8,31
22-08-2012,58000,76191,55400,58000,14,6,32.7,15.4,0,17.8,31
23-08-2012,58000,76191,55400,58000,11,5,32.9,16,0,17.8,31
24-08-2012,58000,76191,55400,58000,12,6,32.5,17.9,0,17.8,31
25-08-2012,58000,76191,55400,58000,7,6,30.4,17.9,9,17.8,31
26-08-2012,60000,78250,56500,60000,8,7,32,13.1,0,17.8,31
27-08-2012,60000,78250,56500,60000,7,6,31.9,14,0,17.8,31
28-08-2012,60000,78250,56500,60000,4,6,31.3,15.9,0,17.8,31
29-08-2012,60000,78250,56500,60000,6,8,31.6,16.4,0,17.8,31
30-08-2012,60000,78250,56500,60000,3,9,31.9,14.1,0,17.8,31
31-08-2012,60000,78250,56500,60000,3,12,32.2,17.2,0,17.8,31
01-09-2012,60000,78250,56500,60000,3,12,32.9,16.2,0,17.8,31
02-09-2012,61912,83000,58000,61912,4,13,34.4,16,0,17.8,31
03-09-2012,61912,83000,58000,61912,4,17,34.4,15.6,0,17.8,31
04-09-2012,61912,83000,58000,61912,5,19,36.1,19.6,0,17.8,31
05-09-2012,61912,83000,58000,61912,4,19,35.8,18.7,0,17.8,31
06-09-2012,61912,83000,58000,61912,8,24,35.6,19.8,0,17.8,31
07-09-2012,61912,83000,58000,61912,12,18,37,19.4,0,17.8,31
08-09-2012,61912,83000,58000,61912,17,17,36.9,19.6,8.3,17.8,31
09-09-2012,61912,83000,59000,61912,9,19,37.3,19.3,0,17.8,31
10-09-2012,61912,83000,59000,61912,13,13,37.8,25,0,17.8,31
11-09-2012,61912,83000,59000,61912,9,19,39.1,25.1,0,17.8,31
12-09-2012,61912,83000,59000,61912,13,15,38.2,25.9,32.3,17.8,31
13-09-2012,61912,83000,59000,61912,14,19,36.5,24.9,31.7,17.8,31
14-09-2012,61912,83000,59000,61912,19,19,35.9,25.3,39.9,17.8,31
15-09-2012,61912,83000,59000,61912,13,9,37.4,23,12.2,12,70.2
16-09-2012,61912,81912,58000,61912,13,9,34.7,24.3,43.9,12,70.2
17-09-2012,61912,81912,58000,61912,13,6,33.2,19.8,57,12,70.2
18-09-2012,61912,81912,58000,61912,13,6,37.8,25.5,39,12,70.2
19-09-2012,61912,81912,58000,61912,14,6,36.4,25.4,9.6,12,70.2
20-09-2012,61912,81912,58000,61912,19,6,35.1,24.7,35.3,12,70.2
21-09-2012,61912,81912,58000,61912,12,6,33.2,24,6.6,12,70.2
22-09-2012,61912,81912,58000,61912,24,12,32.7,24.4,19.5,12,70.2
23-09-2012,61912,81912,57400,61912,18,9,34.1,24.1,19.3,12,70.2
24-09-2012,61912,81912,57400,61912,18,8,35.2,24.5,42.9,12,70.2
25-09-2012,61912,81912,57400,61912,19,11,35.1,24.9,19.8,12,70.2
26-09-2012,61912,81912,57400,61912,17,12,34.6,24.9,0,12,70.2
27-09-2012,61912,81912,57400,61912,19,11,35.2,24.9,54.1,12,70.2
28-09-2012,61912,81912,57400,61912,18,12,32.9,19.6,29.1,12,70.2
29-09-2012,61912,81912,57400,61912,15,9,34.3,19.4,50.4,12,70.2
30-09-2012,61912,81191,53400,61912,15,12,34.9,19.5,23.1,12,70.2
01-10-2012,61912,81191,53400,61912,18,13,34.8,19.4,0.9,12,70.2
02-10-2012,61912,81191,53400,61912,17,13,33.9,18.4,0,12,70.2
03-10-2012,61912,81191,53400,61912,18,14,33.3,19.6,0,12,70.2
04-10-2012,61912,81191,53400,61912,19,12,34,19,2.5,12,70.2
05-10-2012,61912,81191,53400,61912,14,12,34.4,19,0,12,70.2
06-10-2012,61912,81191,53400,61912,18,11,32.4,17.5,0,12,70.2
07-10-2012,61912,81190,51919,61912,19,9,32.1,16.4,0,12,70.2
08-10-2012,61912,81190,51919,61912,15,12,33.6,16.9,0,12,70.2
09-10-2012,61912,81190,51919,61912,29,14,31.4,14.4,0,12,70.2
10-10-2012,61912,81190,51919,61912,24,15,31.3,14.5,0,12,70.2
11-10-2012,61912,81190,51919,61912,12,9,31.3,14.9,0,12,70.2
12-10-2012,61912,81190,51919,61912,7,9,31.8,16.6,0,12,70.2
13-10-2012,61912,81190,51919,61912,4,6,31.5,15.1,0,12,70.2
14-10-2012,61600,81190,52400,61600,6,18,32.1,15.7,0,12,70.2
15-10-2012,61600,81190,52400,61600,7,12,33.9,17.3,0,12,70.2
16-10-2012,61600,81190,52400,61600,6,12,34,19.4,0,12,70.2
17-10-2012,61600,81190,52400,61600,7,12,32.9,19,0,12,70.2
18-10-2012,61600,81190,52400,61600,11,14,33.8,17.5,0,12,70.2
19-10-2012,61600,81190,52400,61600,8,11,37.3,17.7,0,12,70.2
20-10-2012,61600,81190,52400,61600,7,18,36.6,18.5,0,12,70.2
21-10-2012,78000,79500,51912,78000,8,14,36.1,19.5,0,12,70.2
22-10-2012,78000,79500,51912,78000,6,13,37.9,19.2,0,12,70.2
23-10-2012,78000,79500,51912,78000,4,11,37.7,23.1,0,12,70.2
24-10-2012,78000,79500,51912,78000,6,14,36.8,24.8,12.2,12,70.2
25-10-2012,78000,79500,51912,78000,7,13,37.8,25.6,0,12,70.2
26-10-2012,78000,79500,51912,78000,7,11,39.9,24.2,0,12,70.2
27-10-2012,78000,79500,51912,78000,7,9,39.9,24.4,0,12,70.2
28-10-2012,70000,77000,52367,70000,5,6,39.8,24.4,4.2,12,70.2
29-10-2012,70000,77000,52367,70000,4,6,39.6,24.6,2.9,12,70.2
30-10-2012,70000,77000,52367,70000,12,5,37.2,24.4,31.6,16.4,52.6
31-10-2012,70000,77000,52367,70000,12,5,39.4,24.7,24.1,16.4,52.6
01-11-2012,70000,77000,52367,70000,14,5,39.4,24.1,54,16.4,52.6
02-11-2012,70000,77000,52367,70000,14,4,35.9,23.8,24,16.4,52.6
03-11-2012,70000,77000,52367,70000,18,6,34.8,25.7,56.9,16.4,52.6
04-11-2012,77500,77000,58500,77500,16,7,31.8,24.7,48.3,16.4,52.6
05-11-2012,77500,77000,58500,77500,8,3,33.5,25.8,19.1,16.4,52.6
06-11-2012,77500,77000,58500,77500,17,7,36.9,23.3,0,16.4,52.6
07-11-2012,77500,77000,58500,77500,11,5,37.2,23,12,16.4,52.6
08-11-2012,77500,77000,58500,77500,18,7,34,24.9,60.5,16.4,52.6
09-11-2012,77500,77000,58500,77500,11,4,31.5,24.2,75.1,16.4,52.6
10-11-2012,77500,77000,58500,77500,14,7,32.4,25,47,16.4,52.6
11-11-2012,85191,78750,63800,85191,19,6,34,25.7,15.5,16.4,52.6
12-11-2012,85191,78750,63800,85191,19,5,34.9,23,0,16.4,52.6
13-11-2012,85191,78750,63800,85191,19,6,36.1,23.5,14.6,16.4,52.6
14-11-2012,85191,78750,63800,85191,19,6,32.6,24.4,43.2,16.4,52.6
15-11-2012,85191,78750,63800,85191,19,7,35.6,24.9,3,16.4,52.6
16-11-2012,85191,78750,63800,85191,19,7,35.6,25,0,16.4,52.6
17-11-2012,85191,78750,63800,85191,19,5,34.9,19.1,0,16.4,52.6
18-11-2012,88800,78191,63000,88800,18,9,32.4,24.4,23.6,16.4,52.6
19-11-2012,88800,78191,63000,88800,24,12,34.2,19.3,0,16.4,52.6
20-11-2012,88800,78191,63000,88800,19,6,34,19.6,0.3,16.4,52.6
21-11-2012,88800,78191,63000,88800,18,8,34.4,19.3,0,16.4,52.6
22-11-2012,88800,78191,63000,88800,24,7,33.8,19.4,2,16.4,52.6
23-11-2012,88800,78191,63000,88800,19,8,32.7,19.9,0,16.4,52.6
24-11-2012,88800,78191,63000,88800,15,7,32.1,18.8,0,16.4,52.6
25-11-2012,87000,74800,60000,87000,17,12,31,19.7,1.8,16.4,52.6
26-11-2012,87000,74800,60000,87000,14,8,31,19.1,0,16.4,52.6
27-11-2012,87000,74800,60000,87000,9,9,23.9,17.4,67.3,16.4,52.6
28-11-2012,87000,74800,60000,87000,11,5,30.1,17.8,0,16.4,52.6
29-11-2012,87000,74800,60000,87000,12,7,29.1,14.3,0,16.4,52.6
30-11-2012,87000,74800,60000,87000,6,8,30.1,15.9,0,16.4,52.6
01-12-2012,87000,74800,60000,87000,2,12,30.5,17,0,16.4,52.6
02-12-2012,99000,71800,60800,99000,6,12,30.3,18.4,3.9,16.4,52.6
03-12-2012,99000,71800,60800,99000,7,7,29.2,15.3,2.1,16.4,52.6
04-12-2012,99000,71800,60800,99000,8,12,31.7,19.9,0,16.4,52.6
